field1,field2,field3
e-Commerce Model,"QR Code Link to This Post
            
        
e-Commerce Female model needed. Must have previous experience. Serious Inquiries Only! 
Must be 18-40 years old , 3-9 Clothing Size Please send 2-3 images to be consider. Our online store specialize in basic clothing only and accessories. Leggings, Tops , Hair Band , Jewelry.  $30hr to start.",compensation: 30hr
Looking for model,"QR Code Link to This Post
            
        
I'm a freelance photographer who is looking to expand my portfolio. I mostly have experience with taking photos of architecture, art and landscapes. I'm interested in hiring a model for a photo shoot collaboration, no experience necessary. Please reply with a photo of yourself and name along with contact info and we can discuss things in detail from there. Thank you.",compensation: 60/hr
Web developer/designer needed.,"QR Code Link to This Post
            
        
Need web developer/designer to do a 7 to 8 page website. I will provide text, videos, stock photos etc for the site. 2 videos will need to go onto the site. One on the home page and the other on page three. Also, on checkout page, customers will need to be able to download a file after paying. But the file that needs to be downloaded, can only be downloadable on a specific date. Looks like we will be using Square to process payments. So that will need to be done as well. Please let me know when you can start, and how long it will take, and what type of site it will be. WordPress, etc.  Also, please bid on the project as a whole. I don't do per hour. And if you have any examples of your work, please send over. Thanks",compensation: bid $$
1. PC Expert 2. WebSite Review - Wix,"QR Code Link to This Post
            
        
Need someone to:

1) Download files/pics/Wipe Clean: Three PC's

Would like a tech person to come to my home, download files, pics & wipe 3 PC's clean. Estimate 6 hours (2 hours per PC). Pay by hour.

2) Review Wix web site & make simple modifications (just tweak the site a little bit). Site is approximately five pages (+or-). Pay by hour.

Please respond to one or both gigs.

Local (Santa Cruz County) people with references.

Must be self-starter, can-do person: Smart, personable, professional, responsive, creative, and of good character.",compensation: $50 per hour
Sundance panel videography on 1/27/20,"QR Code Link to This Post
            
        
I need an experienced videographer to capture our Sundance partner panel and shoot b-roll of the event. Our panel is on Monday, Jan 27 from 12-2 pm (see more detailed timings for the day below). 
 
WHAT YOU'LL BE DOING
Videography: record the event with a 2-3 camera setup.
B-roll: capture footage for an event recap video and other brand promo videos. The shot list is below.
Interview: record a short post-panel interview with our program director.

DETAILS FOR THE DAY
Our panel will take place at the Kimball Art Center. 
1401 Kearns Blvd. Park City, UT

1100 - 1130 am: Setup, testing
1130 - 1200 pm: Pre-event b-roll: audience, partner logos, speakers
12 - 2 pm: Panel time
200 - 215 pm: Post-event b-roll: audience, speakers
215 - 300 pm: go outside the venue and shoot various Sundance related b-roll to capture what else is happening in the area. Don't limit yourself to the immediate vicinity of the venue. This b-roll will be incorporated into our Sundance recap voiceover video.
300 - 330 pm: Record short interview with our program director

B-ROLL SHOT LIST
- panel partners' branding
- Sue Obeidi (our program director) engaging with the audience
- each speaker from various angles as they're speaking (show them using their body language)
- the entire panel line-up from varying angles and distances
- audience reactions (wide and close-up) focusing on capturing emotion (engaged, laughing, clapping)
- dynamic shots and pans of the audience in the foreground with speakers in the background
- dynamic shots and pans of speakers in the foreground with the audience in the background
- environmental shots to show the depth and breadth of the room and the audience

Here's an example of the style, quality, and framing of the footage I'm looking for. https://youtu.be/9AVC3qEetlo

I need all footage to be uploaded to a Google Team Drive that I will share with you.

NOTE: I do not need editing services.",compensation: 1100
Product Demo Video (Vietnamese Speaker),"QR Code Link to This Post
            
        
Looking for Vietnamese speaking female for 1 day.
We will be making product videos similar to QVC Home Shopping Network.
We are looking to create 3-5 products videos that will range anywhere from 1-3 minutes long.

Here is our website of the products that will be demonstrated: www.aidenasher.com

Looking to start as early as 1/22/2020, we will be filming at our creative work space in Down Town Long Beach (WeWork and Oceanaire)

Here is an example of the what you will be doing: https://www.youtube.com/watch?v=Xa1CYHa0SVI - we want it to be similar to QVC shopping network",compensation: Will pay by hour or for the day
Hand models needed for stationery photoshoot,"QR Code Link to This Post
            
        
Hand model needed for shooting product images of assorted stationery (journals, cards, calendars, etc).  

Candidate does not need to be a ""hand model,"" but must have youthful, slender hands with clean, natural nails or a fresh manicure. POC preferred. 

Shoot will take place at a professional photo studio downtown. 

Compensation is $100/hour (shoot will take approximately 1-2 hours).",compensation: $100/hour
PROMO MODEL GIRL NEEDED!! (SALES EXPERIENCE A PLUS),"QR Code Link to This Post
            
        
I'm looking for a promo model to help me in my booth at the Chicagoland Fishing and Outdoor Expo on Saturday. I'm paying $15 per hour plus $25 commission on anything you sell (optional)",compensation: $15 per hour cash ($25 per sale)
Media Marketing & Sales,"QR Code Link to This Post
            
        
PRIVATE YACHT CHARTERS & VIP SERVICES - MARKETING & SALES

We are looking for a creative, professional, skilled person who has experience and talents in the following ::
  - Social Media marketing campaigns designed to promote our brand and sell services
  - Photography/Video/Editing to be used on social media, YouTube and other mediums
  - Promotions - Idea's, relationships or connections to market and sell our services to high end resources
  - Strong interpersonal skills - Set & run meetings with key people to cross-promote our brand and partner for sales

You will have all the support and resources you need for success. If you are strong, confident, talented, motivated and independent, this is a fantastic opportunity to make great money, have fun and position yourself in our company.

Qualifications ::
  - MAC computer skills for basic communications and media editing
  - Reliable vehicle
  - Live near central San Diego - within 10ish miles of Point Loma
  - Requires a minimum of 10 hours per week

If this sounds like an opportunity that appeals to you, respond back with the - ALL - of the following ::
  - A resume or information detailing your experience and successes
  - A list of your skills in detail related to this position
  - Any key ideas you may have that will make you the right person and a valuable person on our team
  - Details about you personally and a picture of you
  - Availability",compensation: Hourly + Commissions
Photographer! Do  you love world class wine?,"QR Code Link to This Post
            
        
Can you shoot it?

We are looking for an experienced food or product and packaging photographer to shoot pro images of our Russian River Valley Brand in Healdsburg. 

We have the place. You bring your gear and pro attitude. 

Pays: One mixed case of world class Pinot, Zinfandel and Chardonnay (12 bottle value: $516) plus $250 for this 3/4 day shoot. Can work around your schedule.  Shoot must be completed by MARCH 4 (OR THE FIRST SUNDAY IN MARCH) 

Shoot will include some winery family and staff shots once you are all set up or casual shoot around the estate. 

If interested send your web link or some product shots you have done and your interest in wine.",compensation: $250 + Wine
Female Model For Night Out,"QR Code Link to This Post
            
        
Seeking a model type to hang-out and Party
take Pics and dancing pays $25 a hr 4 hr min
pls leave info about yourself with PHOTOS
and MODEL in title to move forward serious replies pls",compensation: $25hr 4hr Min
Scraping email addresses programming,"QR Code Link to This Post
            
        
Need a ""scraping"" program to help me accumulate some email addresses?   
I am interested in increasing my special interest email address lists (for ship and yacht captaining, etc., jobs).   My thought is to use some type of ""scraping"" program against my LinkedIn interest groups. 

(I have reviewed several YouTube videos, but the presentation is too technical, sketchy, and incomplete;  and the presenters' accents are too distracting. Using Linkedin's utilities, I have exported/extracted 2 large files of email addresses for my Connections, and their up to 3rd degree Contacts.

But, I would like to go farther, and extract email addresses based on (my) special interest Groups.)",compensation: TBD
WEB DEVELOPER & DESIGNER TO ASSIST WEBMASTER FOR LAUNCH OF PRODUCT,"QR Code Link to This Post
            
        
Seeking person with a minimum of 6 years experience as a website designer and web developer for new product launch.  Person will assist head of web team.  Must know all facets of web development, updating websites, posting on websites etc.  Must be extremely organized, have training in web development and design, have a computer and can work virtually.  Person must have ENGLISH AS THEIR FIRST LANGUAGE.  We are not interviewing anyone with no experience....must have worked in web creation before with knowledge of up to date methods. Social media knowledge a plus.  Ideal person would know some computer programming as well.  Our webmaster needs assistance and you will work virtually with this person helping them in the launch of our website.  This is a gig and freelance work.  We will ask for references.  DO NOT SEND RESUME IN ATTACHMENT WE DO NOT OPEN ATTACHMENTS  ONLY SEND YOUR RESUME OR BACKGROUND IN THE BODY OF THE EMAIL ....Send your telephone number and best time to call you.",compensation: We  will be paying based on the project and in some cases by the hour.  We are negotiable
Looking for graphic designer for music art,"QR Code Link to This Post
            
        
I am a new R&b artist getting ready to release my first project. I need a graphic designer to collaborate with on a few different things. Experience with creating music cover art is a plus but not a requirement.",compensation: Negotiable.
SOUND MIXER/BOOM OP Needed for Feature,"QR Code Link to This Post
            
        
We're looking for a sound mixer and boom operator for our indie feature. Shooting next month in LA and surrounding. Please reply with experience, equipment list and availability for February and March to be considered.",compensation: Pay
Instagram Branding,"QR Code Link to This Post
            
        
I am a independent band/hip hop artist and I recently made a Instagram account. I am looking for someone to come up with a game plan on what to post and to give me some in sight and ideas on how to get started. I have plenty of material to post but would like someone that knows about ig to really help me set it up to get the most followers. I also would like to hire someone to run my ig account and spend some time helping me build my account and get the most followers. Basically I would want you to make a plan with me and actually have access to my account and have full control on getting me the most followers. Please contact me if this is something you would be interested in. We can talk about the rates but I am going to pay.

Ig. Dluvofficial",compensation: Tbd
Get Paid to Model,"QR Code Link to This Post
            
        
Currently hiring female models. Please email clear unedited pictures, contact information, and a little bit about yourself and why you'd be a great hire.

Flexible scheduling with no minimum weekday shifts. Make great money while having fun! Please be open minded.

Don't hesitate to apply today! Please email any questions you have as well. Can't wait to hear from you!",compensation: $100 per shoot
looking to trade marketing service for acupuncture,"QR Code Link to This Post
            
        
Acupuncturist in the Gold Coast Chicago wanting to trade marketing  for acupuncture service, I need some 
help with yelp and Instagram/Linked In. Looking to first do one trade and hopefully continue to work together. 2 to 4 hours a month. Perfect for someone with a health condition that is good with marketing a small business.
Please email if interested. DrAmie",no pay
Software developers for focus group: $100 for one hour!,"QR Code Link to This Post
            
        
Evans Data is looking for software developers from the San Francisco Bay Area to participate in a focus group in San Jose on March 10. The topic will be developer programs and offerings geared toward developers. It will consist of an hour-long guided panel discussion. Compensation for participating in the discussion is $100.00. Professional software developers only, please. If you’re interested in participating, please reply to this ad with your name, your email, your phone number, and a few good times for us to call and ask you some screening questions.",compensation: $100 for participating on panel
Videographer: Sundance panel on 1/27/20,"QR Code Link to This Post
            
        
I need an experienced videographer to capture our Sundance partner panel and shoot b-roll of the event. Our panel is on Monday, Jan 27 from 12-2 pm (see more detailed timings for the day below). 

If interested, please send samples of your work. You may also call or text me directly at (747) 242-3522‬.
 
WHAT YOU'LL BE DOING
Videography: record the event with a 2 or 3 camera setup.
B-roll: capture footage to be used in an event recap video and other brand promo videos. The shot list is below.
Interview: record a short post-panel interview with our program director.

DETAILS FOR THE DAY
Our panel will take place at the Kimball Art Center. 
1401 Kearns Blvd. Park City, UT

1100 - 1130 am: Setup, testing
1130 - 1200 pm: Pre-event b-roll: audience, partner logos, speakers
12 - 2 pm: Panel time
200 - 215 pm: Post-event b-roll: audience, speakers
215 - 300 pm: go outside the venue and shoot various Sundance related b-roll to capture what else is happening in the area. Don't limit yourself to the immediate vicinity of the venue. This b-roll will be incorporated into our Sundance recap voiceover video.
300 - 330 pm: Record short interview with our program director

B-ROLL SHOT LIST
- panel partners' branding
- Sue Obeidi (our program director) engaging with the audience
- each speaker from various angles as they're speaking (show them using their body language)
- the entire panel line-up from varying angles and distances
- audience reactions (wide and close-up) focusing on capturing emotion (engaged, laughing, clapping)
- dynamic shots and pans of the audience in the foreground with speakers in the background
- dynamic shots and pans of speakers in the foreground with the audience in the background
- environmental shots to show the depth and breadth of the room and the audience

Here's an example of the style, quality, and framing of the footage I'm looking for. https://youtu.be/9AVC3qEetlo

I need all footage to be uploaded to a Google Team Drive that I will share with you.

NOTE: I do not need editing services.",compensation: 1400 for 4.5 hours
"Chiropractic patient model:  photo shoot, 1/24/20","QR Code Link to This Post
            
        
Female model to be a chiropractic patient in a photo shoot for a Wheaton chiropractor's office. We are shooting still images only to update their website and need a model for a few images around the office. 
Friday, January 24, 2020
10 am - 11 am
Budget: $60
2150 Manchester Rd. Ste. 100
Wheaton, IL 60187
Please send head shots/comp cards/height/weight for consideration.",compensation: $60 via Venmo or Paypal after the shoot
Web Designer Needed,"QR Code Link to This Post
            
        
Small company looking for an experienced web designer to create a basic corporate website, about 3 or 4 layers deep. It would be ideal if the designer also creates animated infographics.

We are only interested in web designers with an website or online portfolio. Please include the link to your online portfolio in your reply.",compensation: Open to discussion
Production Company is casting business owners.,"QR Code Link to This Post
            
        
Production Company is casting business owners for competition Television Pilot. The show consists of three business owners per episode competing for a grand prize of $25,000. If interested please reply with contact information and what the business is.",compensation: yes
Female Plus size model,"QR Code Link to This Post
            
        
Fit models needed to try out size 18-22 jeans for a Boston Brand. If a size 16-24 of another brand fits you well, would love to hear back from you. We need to do a fit test so we'll have our designer evaluate how the jeans fit in a 1-2 hour session. Paid opportunity. 
Please email a comp card and/or the follow details when you contact: 
Waist Measurement
Hip Measurement
Most common Jeans size",compensation: $50-$100 per hour
Female Model Needed for Photo Shoot No Experience Required,"QR Code Link to This Post
            
        
We are seeking models of ages 20 - 45, all body types in the Los Angeles area for a photoshoot with our Body Maxx products NO EXPERIENCE required

The model will be featured on our website and our social media accounts. This is a great opportunity to build a portfolio and exposure.

We are providing $75 for 1 hour 

Salary: $75 - 1 hour

Company's website:
www.mybodymaxx.com


WHAT YOU WILL NEED - Please send us your resume along with your portfolio or social media accounts for review. Must include attachment of your portfolio, Instagram handle, or photos and age.",compensation: $75/hour
Male model needed (Fitness or in good shape),"QR Code Link to This Post
            
        
Male model needed for a vitamin company. (Products are keto pills, apple cider vinegar supplements, etc). 

This is for a lifestyle shoot with two other female models. Outdoor shoot in natural lighting. 

The shoot should last approx 4 hours and pays $150. 

When applying please include your social media links and dates your available.",compensation: 150
computer shop drawings of furniture,"QR Code Link to This Post
            
        
furniture and cabinet drawings 
I need somebody to clean up my drawings for a client presentation next week 
I have 11 pieces  to present .",compensation: give me  a price for the presentation
Web Specialist Wanted/Local Only,"QR Code Link to This Post
            
        
We are looking to hire a web development specialist for a short-term project.  Must have extensive Wordpress expertise.  Project may include refinement of mobile web presence.

This is an onsite position only.  Do not contact us if you are outside the Portland/Vancouver area.  PLEASE NOTE THE HOURLY RATE WE ARE OFFERING.  IF YOUR DESIRED RATE IS HIGHER THAN THIS, PLEASE DO NOT APPLY.

Thank you.",compensation: $25 to $30 per hour
Fit Female needed for workout video in San Jose,"QR Code Link to This Post
            
        
Sports and Entertainment company here in the Bay Area seeking fit female (18+) to shoot a workout video ASAP. 

NO experience is necessary. 

This is a Paid project and will be done in San Jose.

Please respond here... send us a few photos of you and a number we can contact you at.",compensation: Paid
Jewelry Designers,"QR Code Link to This Post
            
        
Hi There,

I’m looking for jewelry designers for my new brand. I’m an entrepreneur looking  to work with someone who has a background in design and fashion, who is knowledgeable of current fashion trends and designs.

Looking for someone with at least 2-3+ experience in fine jewelry.  You are forward thinking, artistic, and savvy. Fun, diligent, and hard working. Please respond with resume and past work if this sounds like you!",compensation: TBD
Looking for a videographer for Sat. Jan 25,"QR Code Link to This Post
            
        
Looking for a videographer for Saturday, January 25th from 12 to 8 to shoot 2 hip/hop, outside shot, music videos. Food will be accommodated for the day. We have the equipment to shoot, and are mobile. We will be using a Panasonic Lumix GH4 with a stabilizer. 

Pay will be $10/hour with an opportunity to work for future projects. 

Serious inquiries only please. Please send any social media pages that you may have if applicable.",compensation: 10/hr
Front-end design for simple WordPress site,"QR Code Link to This Post
            
        
I'm setting up a personal/professional website using WordPress. I have a good WordPress background in general, but I stink at making things look good and don't have much time anyway... so I'm looking for someone to create the front end. Basic and clean, but nice. I'm thinking of using OceanWP and Elementor, or similar tools.","compensation: Let me know your rate - I'm expecting to spend a few hundred bucks, perhaps more"
Website build,"QR Code Link to This Post
            
        
Local business needs a new website built. Our current one was built years ago, like the dinosaur age.

We need better SEO ranking and integration with all the social media. Looking for someone LOCAL

We'd also like e-commerce. Please outline how you charge, whether that's by the hour or project. 

Hope to hear soon.",compensation: Around $20 an hour is our budget
Social Media Posting Gig,"QR Code Link to This Post
            
        
Offering $25 Per Post

Must have a public and active Twitter profile

Reply with the direct link to your profile",compensation: $25
FEMALE PHOTO ASSISTANT/ MODEL,"QR Code Link to This Post
            
        
Seeking a female with or without experience to help photographers on event assignments. Photography shooting experience not necessary but a big plus. Will train the right person on the job. Also seek someone who would be willing to model on test shoots. We do commercial shoots, websites, weddings and adult work. Seeking a fit attractive female between 19-35. (you do not need to be a current model. Amateurs preferred) Must be very motivated, eager to learn and very reliable. Transportation to assignments could be provided for the right person. Please submit your name, email address, phone contact and recent photos. Those that don't send this will not be responded to. Pay ranges between $15-$45 per hr (Cash) We are a full-time, established and successful business with over 40 years in business. This is a part-time as needed position. But if you have other experience or skills such as website maintenance, graphic designer, copy writer, Mac knowledge or office organization skills could create more work.",compensation: 15-45 per hr
Photographer looking for models,"QR Code Link to This Post
            
        
Photographer looking for a few stylish and fun, yet mature (as in no drama), women to model for me as I build my print portfolio. Yes - print. I'm not paying or charging: your time gets you a frameable, high-quality, large-format print, I get portfolio pics. A chaperone or friend may attend, but will be drafted to assist, and will be photographed as well. Model release necessary.

If interested, please send me a message with ""Print Shoot"" in the subject. Let me know what area you'd like to meet in (anywhere around Richmond, VA Beach, Norfolk, Hampton, Williamsburg, or Gloucester) and your availability (best for me is Sun-Wed afternoon/evening). Including a photo or two of you is not necessary, but moves you to the top half.",no pay
"Manicurist, Nail Technician or Nail Artistry Specialist","QR Code Link to This Post
            
        
We're hiring you! A licensed manicurist looking to grow and lead his/her clientele daily.

Must have over 2 years of experience: Natural nail experience, CND Shellac Manicures/Pedicures. Also a PLUS if you have knowledge and proficient with dipping powder and nail design artistry.

Choose a flexible schedule for your lifestyle that includes rotating weekends a month preferably Saturday or Sunday, and one evening a week.

Work in a highly developed upcoming neighborhood area that needs a personal passionate, customer focused that offers clean and safe services. A team player.

Join us today, this week or month.

Email your resume for consideration...",compensation: TBD
2D ANIMATOR NEEDED FOR MUSIC VIDEO $$$,"QR Code Link to This Post
            
        
Hello, we are working on a music video and need a 2D animator for hire.  This is a paid gig.  Payment DOE.",compensation: Payment is DOE.
I need an Editor/Layout help in Athens for my book!,"QR Code Link to This Post
            
        
Writing my first book.. it's 99% finished I need someone who can edit the book with me, side-by-side work and help me with the layout before it goes to the publisher and to Kindle. I'm paying $10 cash an hour till it's done. Calls (ONLY) me 9707087451 (prefer to talk not text) 

-Ryan",compensation: $10 cash / hr
"Marketing, Brand Ambassador, Social Media Client Recruiter","QR Code Link to This Post
            
        
I’m looking for someone with a marketing, sales, communications and networking background to help grow my client base for my bookkeeping business. This person will be interacting on social media, researching potential clients based on our demographics, contacting those potential clients and “closing the deal”. 

The perfect candidate will have:

*Excellent verbal and nonverbal communication
*A strong handle on social media etiquette and an eye for solid media content
*A professional, trustworthy, and laid back personality and appearance 
*A degree in marketing, advertising, communications, or related field (several years of experience in lieu of degree) 
*The ability to “sell” or explain the importance of certain services and how they can benefit a prospective client 
*Their own computer, phone, and professional attire to use for work purposes 

This is very flexible. You can devote 1-8 hours per day, whichever you prefer. Great opportunities for students or recent graduates. 

This hired candidate would make 5% commission of all sales, based on the estimated annual revenue generated by the client you obtain. 

FOR EXAMPLE:

Clients who are needing an estimated 8 hours of services monthly will generate an estimated $2,000 of revenue for the year, and your commission for finding them will be $100. The full commission will be paid to you as soon as the new client pays for their first month of service. 

The hired candidate will not be an employee, but will be paid by check as an independent freelancer. 

Please reply with resume and a message listing WHY you are the person for the job.",compensation: 5% commission
Model needed for Power Play Event,"QR Code Link to This Post
            
        
We will be hosting a power-shoot event next month and would love to do a free photoshoot withs model
Please email or text us your name and 2 shots of yourself. looking for a diverse set up.
Will take  pictures to help build your portfolio
and offer a free spot at the Power Play powershoot

www.millennialcreations.net",no pay
Advertising through social media,"QR Code Link to This Post
            
        
I'm a General Contractor in Richmond VA. My business specializes in high end residential custome design. I have never used social media, although a friend just helped me set up a Facebook account. I have no idea how to use or regulate it. I also would like to set up Instagram, Linked In and whatever else is out there. This would be a good gig for a VCU student looking to make some extra money. Must be local! Can meet at my house, Starbucks, library, whatever is comfortable to you but I need one on one attention. My goal is to get more attention to my designs and installations.",compensation: Negotiable
Looking for someone to put a Wix website together,"QR Code Link to This Post
            
        
Looking for someone to create a simple website with Wix. No store, simple. 
Please be in MASSACHUSETTS, please be available locally.


Please include your rate . Looking for very inexpensive basic site .",compensation: TBD
Need Photos/Videos Of Vacant Land,"QR Code Link to This Post
            
        
In addition to the photos/videos, I'll need you to identify various features of the property such as driveways or power line location and report back.

Photos and video must be taken on a clear sunny day with blue skies, and photos must be properly exposed.
Editing isn't as much of a concern as long as the images are reasonably workable -- examples of the quality I'm looking for will be provided.

If my experience with you goes well, I will very likely have more shoots for you in the future.

Photos must be taken with DSLR or Mirrorless - Will offer more if you have a drone for aerial shots",compensation: TBD
Non-profit Video Game needs an update,"QR Code Link to This Post
            
        
Hello, 

I'm looking to upgrade a video game for our non profit. 

We are looking to make the game more interactive and more mission specific.  If you have an example of videos games you've made or any suggestions for our cause, feel free to express them via email, text, or phone. 

(Nine Five One) 472-5005

http://game.theheartbeat.org/",compensation: Non Profit 501(c)(3) can pay upon completion or actual revenue
Now hiring dancers/models,"QR Code Link to This Post
            
        
Now hiring. We take pride in being a highly regarded agency seeking talented, upscale private dancers & models. Income of 1000-2000/day. Age requirement: 18-40. Safety & discretion guaranteed with respectful, upscale clientele. Required for applicants: 3 current pictures with contact info. Available 24/7 for interviews",compensation: 1000-2000
Looking for part time Facebook designer manager for multiple business,"QR Code Link to This Post
            
        
Looking for a part time Facebook designer manager.  We have multiple businesses that need fb pages and also to be maintained.   Could work into a full time position and business partnership as well.  Willing to pay weekly salary to start. Text 260-414-7523 of interested",compensation: $500
Female bondage haircut model ~ Cash Compensation,"QR Code Link to This Post
            
        
Needed: 
- female bondage model
- willing to get extreme haircut 
- compensation in cash
- brief amateur photo shoot (before, during, after)
- 18+ with valid ID required
- respond with current photo showing your face and length of hair",compensation: Cash - negotiable fee
Actors and Models Wanted: Photography Head Shots and Fashion,"QR Code Link to This Post
            
        
Actors and Models wanted for FREE photography shoot.

Robert Perez Studio is offering a free session for head shots, modeling and character shots for portfolio reviews.

THIS IS A LIMITED TIME OFFER FOR A SMALL SELECT GROUP.

NOTE: Actors and Models WILL NOT be paid, but they will receive professional copies of images for their own use, with only photographers credit required, NO ADDITIONAL FEES.

Contact Robert Perez Studio for details about contracts, rights of use, etc.

This a great opportunity to get amazing high-end professional images for your portfolio for use on casting calls, modeling agencies, etc.

Robert Perez is a professional photographer for over 30 years and a licensed and insured member of Professional Photographers of America (PPA).

VISIT: robertperezstudio.com
CALL: 631.602.0088",no pay
Looking for Developers,"QR Code Link to This Post
            
        
Looking for cross-platform developers who know how to code with flutter. Need help cleaning up the code and adding a story feature to the app. This will be a paid gig.",compensation: Paid gig call for pricing
Female Undercut Model ~ Cash Compensation,"QR Code Link to This Post
            
        
Female Undercut Models Needed

Existing undercuts and new undercuts considered

For consideration respond with a current photo of your face (showing the length of your hair) and a photo with your hair up showing your nape. Failure to provide both photos will not allow you to be considered.

Brief before, during, and after photos
No nudity required


18+ ONLY
*valid ID required*",compensation: $100
Freelance Writer Wanted - Pay $50 per article,"QR Code Link to This Post
            
        
We're now hiring freelance writers to create blog posts, articles and website content.

Work can be completed on a flexible schedule based on freelancer availability, however, deadlines may be provided.

Content needed will vary in genre/topic but will usually be based around websites for small businesses and organizations.

Rate of pay is $10 per 100 words (this comes out to approximately $50 per article).

If interested, please apply at https://iapwe.org/apply-43387",compensation: $50 per article
Event Videographer Needed,"QR Code Link to This Post
            
        
I will be attending an upcoming trade show in Jacksonville in February and I'm looking to hire a professional videographer to get footage of the event.

I need 8 hours of coverage, 4K video that can be made into slow motion video, good audio either by on-camera microphone or lapel mics, footage of my booth and my trade show staff doing product demonstrations and interacting with attendees.

Please include the type of camera(s) you would be using and a reel of your work.

Also, if you are able to edit, please let me know what it might cost to do 2 to 3 1-minute highlight videos from the footage you gather as I may be interested in your editing services as well.",compensation: Please email me with your quote. Payments will be made by check or credit card.
Male models for physique/body photos,"QR Code Link to This Post
            
        
Photographer searching for grown confident male models for photography focused on physique, lifestyle, artistic and personal images. 
No experience necessary, though helpful. Must be fully comfortable with self and in own skin. Average to better bodies ok.
Please respond back with stats and some images that are representative of current body shape or images from prior shoot. Selfies ok too. 
Flexible compensation that depends on look, energy, ability to learn and generally have fun with new situations.
More details by email if questions.",compensation: 100 base that goes up based on results and energy of images produced
Quality Website Design needed!!,"QR Code Link to This Post
            
        
I have new start-up in the recruiting space and been tweaking with some website templates, but nothing looks the way I want it to. This will be first website for my company so I want it to make a solid impression. 

This would be the perfect gig for a student or someone trying to build their portfolio or just someone that appreciates the recruiting world! I can offer a nominal fee, $100-200 or negotiable, depending on quality of work, time and experience.",compensation: $150-negotiable
Small Electronic Design Project,"QR Code Link to This Post
            
        
I need a phantom powered electret microphone circuit and an LED dimmer circuit. Both need to be on a PC board.

Let me know your rate. Best to be near Sonoma to go over project.",compensation: Your Rate
Need Microsoft Word help $20/hr (short term),"QR Code Link to This Post
            
        
Hello - I have a project starting morning of Fri., 1/24/20 re: moving word docs from old format to new format.

Not complicated, just need somebody organized, hard working and wants to get paid in cash.

Will pay $20/hr cash to somebody who can get through it accurately and relatively quickly.  

Accuracy more important than speed but both are important.  

Please respond with some info about you and your experience.  I need help ASAP.  Thank you.",compensation: $20.00 per hour/cash
Prank Video $200 Per Video,"QR Code Link to This Post
            
        
Need an actor to make prank videos for us. You will need to make the prank video yourself, edit the prank video, and then send us the video.

You will be paid $200 for every prank video that you make for us.

Required: Make sure to include a picture of yourself.
Also include any videos, if you have done any in the past.",compensation: $200
Future Celebrity Nightlife Models,"QR Code Link to This Post
            
        
Looking for Entertainers, Singers, Dancers, Rappers, Host, Models etc
We are looking for the Best of the Best to Host and Perform and V.I.P events. Lets build. We are looking for Personalities that want to take over Hollywood. No Experience neccessary. If you love networking and being the life of the party this is the Team for you. We need People that love the spotlight and love being in front of the camera. Must have a reliable source of transportation. 

Receive all the hollywood celebrity perks and enjoy the Hollywood nightlife with Beautiful socialites and celebrities. We need models to host some of our exclusive V.I.P Parties. Must be have a reliable source of transportation. Please apply with photo and contact number for immediate consideration. Thanks in advance",compensation: 50/500
"UX/UI WordPress,Woo Commerce / Wordpress,WooCommerce Programmer","QR Code Link to This Post
            
        
hI, currently in search of someone who can help build a simple yet 5-panel responsive website. It needs to be mobile friendly. Please have UX/UI design experience, along with, CSS, JavaScript, Word press and woo-commerce. We will be utilizing woo-commerce to sell our 12 items online. We have a diagram that simplifies what we will be needing. Please share your past work that you’ve completed. This will help us in the decision making process. Please provide name and # when responding. 

Thanks and looking forward to working with you.",compensation: tbd
Model/Partner/Assistant,"QR Code Link to This Post
            
        
If you want to take over the industry this is for you. Have you ever heard of laugh therapy?  Are you interested in hosting parties?  Are you interested in being in skits and short movies?  We have all the resources we just need the right team.
We are looking for you if interested dont be afraid to apply. We are looking to build the next outstanding team of socialites and models but we need you to help lead the way. Looking for Entertainers, Singers, Dancers, Rappers, Host, Models etc. We have oppurtunities in Hollywood, LA and the Valley. Must be 18-40 all shapes and sizes.

No experience neccessary but you cant be camera shy!  
Apply with photo and contact number for immediate consideration",compensation: 200
Special Job for a Special Ex Boyfriend,"QR Code Link to This Post
            
        
Looking for someone to light a flaming bag of poo for a doorstep.
Pay DOE
Message for details",compensation: DOE
Amateur men needed for website and cam work,"QR Code Link to This Post
            
        
Launching a new adult website and hiring men of all ages and ethnicity.

Website and live webcam will feature mostly solo performance including future fetish requests from subscribers.

Face masks and other items can be provided to those requiring discretion.

PRIVATE auditions will be scheduled beginning February 3, 2020.

Please reply with your pictures and statistics and additional information will be sent.",compensation: Pay scale to be discussed
Videographer Needed This Saturday,"QR Code Link to This Post
            
        
Need a videographer to shoot at a hotel property this Saturday. Footage will be used by the hotel
and lighting and a gimbal will be needed. Please send examples of work.",compensation: $200 Flat Rate
